WP_032398796.1	WP_032398796.1
WP_086471607.1	WP_198877769.1
WP_239832568.1	WP_239832568.1
WP_103073818.1	WP_103073818.1
WP_076399071.1	WP_076399071.1
WP_159805813.1	WP_159805813.1
WP_172359959.1	WP_172359959.1
WP_029891695.1	WP_029891695.1
WP_068464918.1	WP_068464918.1
WP_110438209.1	WP_110438209.1
WP_110438209.1	WP_155565623.1
WP_110438209.1	WP_122123748.1
WP_058836203.1	WP_058836203.1
WP_085757714.1	WP_085757714.1
WP_111641379.1	WP_111641379.1
WP_149362786.1	WP_149362786.1
WP_189493539.1	WP_189493539.1
WP_126776055.1	WP_126776055.1
WP_066881726.1	WP_066881726.1
WP_066881726.1	WP_153132165.1
WP_124543507.1	WP_124543507.1
WP_056263066.1	WP_056263066.1
WP_056263066.1	WP_132571141.1
WP_056263066.1	WP_056875037.1
WP_056263066.1	WP_088482101.1
WP_056263066.1	WP_056199425.1
WP_056263066.1	WP_057295801.1
WP_056263066.1	WP_233392797.1
WP_056263066.1	WP_233371936.1
WP_012561566.1	WP_012561566.1
WP_164631454.1	WP_164631454.1
WP_164631454.1	WP_013500165.1
WP_164631454.1	WP_011155870.1
WP_164631454.1	WP_110787020.1
WP_164631454.1	WP_164606044.1
WP_035895291.1	WP_035895291.1
WP_035895291.1	WP_025386242.1
WP_035895291.1	WP_133127985.1
WP_180682705.1	WP_180682705.1
WP_180682705.1	WP_133595766.1
WP_080921221.1	WP_080921221.1
WP_124948611.1	WP_124948611.1
WP_239264312.1	WP_239264312.1
WP_239264312.1	WP_092845682.1
WP_239264312.1	WP_019019231.1
WP_034872294.1	WP_034872294.1
WP_152147675.1	WP_152147675.1
WP_108602572.1	WP_108602572.1
WP_029724292.1	WP_029724292.1
WP_029724292.1	WP_135983052.1
WP_029724292.1	WP_100280400.1
WP_029724292.1	WP_056612322.1
WP_029724292.1	WP_077507335.1
WP_029724292.1	WP_135965328.1
WP_078337629.1	WP_078337629.1
WP_078337629.1	WP_109370026.1
WP_078337629.1	WP_199055912.1
WP_078337629.1	WP_109704943.1
WP_078337629.1	WP_095447693.1
WP_078337629.1	WP_094540885.1
WP_078337629.1	WP_171380008.1
WP_078337629.1	WP_140906070.1
WP_078337629.1	WP_217676073.1
WP_078337629.1	WP_187543747.1
WP_078337629.1	WP_024898450.1
WP_078337629.1	WP_094505858.1
WP_078337629.1	WP_094578498.1
WP_078337629.1	WP_100558411.1
WP_078337629.1	WP_185917033.1
WP_078337629.1	WP_075604175.1
WP_078337629.1	WP_043062764.1
WP_078337629.1	WP_075629978.1
WP_078337629.1	WP_008933582.1
WP_078337629.1	WP_121986862.1
WP_078337629.1	WP_104755118.1
WP_078337629.1	WP_010657658.1
WP_078337629.1	WP_007872432.1
WP_078337629.1	WP_154141061.1
WP_078337629.1	WP_076780448.1
WP_078337629.1	WP_140020530.1
WP_078337629.1	WP_008935031.1
WP_078337629.1	WP_154167273.1
WP_078337629.1	WP_006163711.1
WP_078337629.1	WP_002965136.1
WP_078337629.1	WP_004691153.1
WP_078337629.1	WP_006107467.1
WP_078337629.1	WP_121981206.1
WP_078337629.1	WP_138144449.1
WP_078337629.1	WP_014490224.1
WP_078337629.1	WP_008503642.1
WP_078337629.1	WP_006468052.1
WP_078337629.1	WP_183647029.1
WP_078337629.1	WP_111573707.1
WP_013934755.1	WP_013934755.1
WP_036805689.1	WP_036805689.1
WP_036805689.1	WP_011800341.1
WP_036805689.1	WP_029525824.1
WP_036805689.1	WP_196861492.1
WP_068803656.1	WP_068803656.1
WP_238896844.1	WP_238896844.1
WP_238896844.1	WP_037442037.1
WP_238896844.1	WP_207354936.1
WP_055899883.1	WP_055899883.1
WP_055899883.1	WP_135264547.1
WP_036284498.1	WP_036284498.1
WP_036284498.1	WP_016918606.1
WP_036284498.1	WP_165049414.1
WP_036284498.1	WP_202070907.1
WP_131907456.1	WP_131907456.1
WP_149787370.1	WP_149787370.1
WP_149787370.1	WP_090028816.1
WP_121897589.1	WP_121897589.1
WP_121897589.1	WP_135375919.1
WP_014499222.1	WP_014499222.1
WP_122900317.1	WP_122900317.1
WP_076442686.1	WP_076442686.1
WP_206241897.1	WP_206241897.1
WP_206241897.1	WP_068090484.1
WP_147160431.1	WP_147160431.1
WP_147160431.1	WP_054123778.1
WP_239020044.1	WP_239020044.1
WP_116650265.1	WP_116650265.1
WP_025502254.1	WP_025502254.1
WP_025502254.1	WP_002043885.1
WP_052035944.1	WP_052035944.1
WP_009150739.1	WP_009150739.1
WP_193708127.1	WP_193708127.1
WP_042832599.1	WP_042832599.1
WP_042832599.1	WP_014062526.1
WP_217286626.1	WP_217286626.1
WP_123174017.1	WP_123174017.1
WP_123174017.1	WP_096117731.1
WP_053115112.1	WP_053115112.1
WP_117117775.1	WP_117117775.1
WP_138602804.1	WP_138602804.1
WP_077811705.1	WP_077811705.1
WP_051468146.1	WP_051468146.1
WP_229255085.1	WP_229255085.1
WP_001078561.1	WP_001078561.1
WP_015692403.1	WP_015692403.1
WP_015692403.1	WP_002658711.1
WP_070309546.1	WP_070309546.1
WP_147094344.1	WP_147094344.1
WP_038831561.1	WP_038831561.1
WP_016458245.1	WP_016458245.1
WP_211794278.1	WP_211794278.1
WP_224964775.1	WP_224964775.1
WP_209795633.1	WP_209795633.1
WP_048210640.1	WP_048210640.1
WP_048210640.1	WP_162822951.1
WP_048210640.1	WP_170916441.1
WP_048210640.1	WP_206163073.1
WP_173718832.1	WP_173718832.1
WP_076502520.1	WP_076502520.1
WP_076502520.1	WP_014774087.1
WP_106626075.1	WP_106626075.1
WP_178981823.1	WP_178981823.1
WP_190238747.1	WP_190238747.1
WP_055438467.1	WP_055438467.1
WP_099299694.1	WP_099299694.1
WP_200371576.1	WP_200371576.1
WP_241673324.1	WP_241673324.1
WP_118028685.1	WP_118028685.1
WP_016633441.1	WP_016633441.1
WP_138677272.1	WP_138677272.1
WP_206577750.1	WP_206577750.1
WP_148866193.1	WP_148866193.1
WP_048694330.1	WP_048694330.1
WP_117972222.1	WP_117972222.1
WP_237426761.1	WP_237426761.1
WP_121957954.1	WP_121957954.1
WP_121957954.1	WP_045087802.1
WP_044279047.1	WP_044279047.1
WP_232633322.1	WP_232633322.1
WP_086314318.1	WP_086314318.1
WP_167769326.1	WP_167769326.1
WP_246863933.1	WP_246863933.1
WP_126209516.1	WP_126209516.1
WP_234507997.1	WP_234507997.1
WP_010325439.1	WP_010325439.1
WP_146830788.1	WP_146830788.1
WP_245084166.1	WP_245084166.1
WP_208698767.1	WP_208698767.1
WP_232704472.1	WP_232704472.1
WP_131358974.1	WP_131358974.1
WP_186689445.1	WP_186689445.1
WP_101574852.1	WP_101574852.1
WP_114985624.1	WP_114985624.1
WP_147587600.1	WP_147587600.1
WP_072865983.1	WP_072865983.1
WP_015817768.1	WP_015817768.1
WP_055192895.1	WP_055192895.1
WP_055192895.1	WP_173486248.1
WP_132976399.1	WP_132976399.1
WP_158924029.1	WP_158924029.1
WP_237155234.1	WP_237155234.1
WP_047011100.1	WP_047011100.1
WP_005858499.1	WP_005858499.1
WP_005858499.1	WP_100928690.1
WP_146300490.1	WP_146300490.1
WP_072601692.1	WP_072601692.1
WP_183188771.1	WP_183188771.1
WP_184477367.1	WP_184477367.1
WP_174273264.1	WP_174273264.1
WP_183421778.1	WP_183421778.1
WP_119797272.1	WP_119797272.1
WP_209064022.1	WP_209064022.1
WP_026686360.1	WP_026686360.1
WP_159991717.1	WP_159991717.1
WP_093984564.1	WP_093984564.1
WP_093984564.1	WP_101193575.1
WP_111383299.1	WP_111383299.1
WP_111383299.1	WP_111419095.1
WP_106990274.1	WP_106990274.1
WP_164118854.1	WP_164118854.1
WP_018868918.1	WP_018868918.1
WP_018868918.1	WP_018936404.1
WP_141451828.1	WP_141451828.1
WP_246450707.1	WP_246450707.1
WP_154447165.1	WP_154447165.1
WP_026879599.1	WP_026879599.1
WP_157991774.1	WP_157991774.1
WP_157991774.1	WP_157992385.1
WP_106182930.1	WP_106182930.1
WP_097090815.1	WP_097090815.1
WP_097090815.1	WP_196225215.1
WP_097090815.1	WP_247234191.1
WP_097090815.1	WP_201515144.1
WP_097090815.1	WP_062118931.1
WP_097090815.1	WP_037464648.1
WP_097090815.1	WP_066525138.1
WP_147493255.1	WP_147493255.1
WP_151972564.1	WP_151972564.1
WP_071973433.1	WP_071973433.1
WP_071973433.1	WP_067297431.1
WP_071973433.1	WP_152464805.1
WP_027072061.1	WP_027072061.1
WP_027072061.1	WP_149102816.1
WP_027072061.1	WP_202843640.1
WP_027072061.1	WP_146312574.1
WP_127612492.1	WP_127612492.1
WP_157990768.1	WP_157990768.1
WP_055843037.1	WP_055843037.1
WP_055843037.1	WP_204194246.1
WP_123399207.1	WP_123399207.1
WP_165194930.1	WP_165194930.1
WP_008211953.1	WP_008211953.1
WP_008211953.1	WP_147626246.1
WP_124110191.1	WP_124110191.1
WP_192155730.1	WP_192155730.1
WP_192155730.1	WP_192164746.1
WP_192155730.1	WP_192107686.1
WP_066557619.1	WP_066557619.1
WP_152810230.1	WP_152810230.1
WP_149195159.1	WP_149195159.1
WP_149195159.1	WP_180676614.1
WP_073196365.1	WP_073196365.1
WP_073196365.1	WP_085826293.1
WP_073196365.1	WP_092833731.1
WP_144187104.1	WP_144187104.1
WP_198477687.1	WP_198477687.1
WP_149816475.1	WP_149816475.1
WP_092756079.1	WP_092756079.1
WP_096618979.1	WP_096618979.1
WP_208008287.1	WP_208008287.1
WP_216287202.1	WP_216287202.1
WP_132970780.1	WP_132970780.1
WP_122112477.1	WP_122112477.1
WP_122112477.1	WP_106691137.1
WP_233924481.1	WP_233924481.1
WP_038248045.1	WP_038248045.1
WP_018719742.1	WP_018719742.1
WP_188381304.1	WP_188381304.1
WP_188381304.1	WP_188395576.1
WP_088648969.1	WP_088648969.1
WP_154692128.1	WP_154692128.1
WP_067869328.1	WP_067869328.1
WP_067869328.1	WP_067988045.1
WP_100379810.1	WP_100379810.1
WP_167952824.1	WP_167952824.1
WP_164697585.1	WP_164697585.1
WP_164697585.1	WP_203070979.1
WP_164697585.1	WP_092959164.1
WP_158406919.1	WP_158406919.1
WP_109993421.1	WP_109993421.1
WP_109993421.1	WP_037339702.1
WP_242109288.1	WP_242109288.1
WP_123793601.1	WP_123793601.1
WP_085526200.1	WP_085526200.1
WP_160674952.1	WP_160674952.1
WP_067612053.1	WP_067612053.1
WP_038145815.1	WP_038145815.1
WP_089397606.1	WP_089397606.1
WP_100368220.1	WP_100368220.1
WP_100368220.1	WP_247228526.1
WP_100368220.1	WP_008232323.1
WP_114686408.1	WP_114686408.1
WP_142632056.1	WP_142632056.1
WP_142632056.1	WP_132388352.1
WP_055933917.1	WP_055933917.1
WP_090379533.1	WP_090379533.1
WP_090379533.1	WP_213639668.1
WP_090379533.1	WP_208708010.1
WP_090379533.1	WP_025164139.1
WP_090379533.1	WP_147170797.1
WP_090379533.1	WP_042555450.1
WP_090379533.1	WP_084308298.1
WP_090379533.1	WP_205348281.1
WP_090379533.1	WP_017937552.1
WP_090379533.1	WP_160343454.1
WP_090379533.1	WP_225835650.1
WP_090379533.1	WP_090501203.1
WP_090379533.1	WP_172143338.1
WP_090379533.1	WP_238040431.1
WP_090379533.1	WP_070880554.1
WP_089386811.1	WP_089386811.1
WP_089386811.1	WP_188714562.1
WP_089386811.1	WP_103172018.1
WP_089386811.1	WP_126152671.1
WP_089386811.1	WP_154764765.1
WP_089386811.1	WP_167620850.1
WP_089386811.1	WP_234854532.1
WP_089386811.1	WP_207468654.1
WP_089386811.1	WP_207100742.1
WP_089386811.1	WP_130990910.1
WP_171679381.1	WP_171679381.1
WP_014869226.1	WP_014869226.1
WP_014869226.1	WP_025264149.1
WP_056428764.1	WP_056428764.1
WP_187726746.1	WP_187726746.1
WP_187726746.1	WP_213979811.1
WP_243065594.1	WP_243065594.1
WP_091354112.1	WP_091354112.1
WP_091354112.1	WP_205209448.1
WP_072506072.1	WP_072506072.1
WP_072506072.1	WP_014876402.1
WP_072506072.1	WP_046211454.1
WP_072506072.1	WP_102859521.1
WP_072506072.1	WP_024098895.1
WP_156872669.1	WP_156872669.1
WP_033966849.1	WP_033966849.1
WP_033966849.1	WP_010407574.1
WP_033966849.1	WP_126847559.1
WP_200387815.1	WP_200387815.1
WP_052750280.1	WP_052750280.1
WP_050879209.1	WP_050879209.1
WP_029277512.1	WP_029277512.1
WP_180788226.1	WP_180788226.1
WP_176632428.1	WP_176632428.1
WP_238618186.1	WP_238618186.1
WP_238618186.1	WP_239680622.1
WP_196098160.1	WP_196098160.1
WP_122219878.1	WP_122219878.1
WP_050895036.1	WP_050895036.1
WP_161499905.1	WP_161499905.1
WP_110147371.1	WP_110147371.1
WP_084416588.1	WP_084416588.1
WP_022670057.1	WP_022670057.1
WP_132690650.1	WP_132690650.1
WP_181218422.1	WP_181218422.1
WP_181218422.1	WP_222142615.1
WP_181218422.1	WP_010787770.1
WP_166231581.1	WP_166231581.1
WP_016218816.1	WP_016218816.1
WP_116306280.1	WP_116306280.1
WP_035620740.1	WP_035620740.1
WP_058674967.1	WP_058674967.1
WP_058674967.1	WP_232927617.1
WP_149390058.1	WP_149390058.1
WP_164906289.1	WP_164906289.1
WP_126353682.1	WP_126353682.1
WP_096407632.1	WP_096407632.1
WP_096407632.1	WP_238642446.1
WP_203644143.1	WP_203644143.1
WP_203644143.1	WP_204121310.1
WP_118315461.1	WP_118315461.1
WP_118315461.1	WP_118485698.1
WP_130275973.1	WP_130275973.1
WP_126932944.1	WP_126932944.1
WP_126932944.1	WP_172819247.1
WP_143043103.1	WP_143043103.1
WP_026947836.1	WP_026947836.1
WP_126456107.1	WP_126456107.1
WP_126456107.1	WP_121926258.1
WP_126456107.1	WP_016989156.1
WP_034589020.1	WP_034589020.1
WP_119525214.1	WP_119525214.1
WP_204703150.1	WP_204703150.1
WP_178990381.1	WP_178990381.1
WP_203795465.1	WP_203795465.1
WP_086543648.1	WP_086543648.1
WP_086543648.1	WP_146920258.1
WP_073285932.1	WP_073285932.1
WP_053775965.1	WP_053775965.1
WP_183677779.1	WP_183677779.1
WP_109040670.1	WP_109040670.1
WP_128249218.1	WP_128249218.1
WP_234660890.1	WP_234660890.1
WP_090391753.1	WP_090391753.1
WP_230275611.1	WP_230275611.1
WP_190097041.1	WP_190097041.1
WP_190097041.1	WP_078861650.1
WP_218111551.1	WP_218111551.1
WP_006681860.1	WP_006681860.1
WP_156437691.1	WP_156437691.1
WP_146831403.1	WP_146831403.1
WP_204806306.1	WP_204806306.1
WP_239224540.1	WP_239224540.1
WP_218699131.1	WP_218699131.1
WP_191255510.1	WP_191255510.1
WP_204176640.1	WP_204176640.1
WP_216380496.1	WP_216380496.1
WP_070927222.1	WP_070927222.1
WP_070927222.1	WP_074345019.1
WP_064210887.1	WP_064210887.1
WP_184863730.1	WP_184863730.1
WP_194183899.1	WP_194183899.1
WP_244016029.1	WP_244016029.1
WP_244016029.1	WP_242417759.1
WP_244016029.1	WP_159317902.1
WP_244016029.1	WP_053005328.1
WP_244016029.1	WP_000591858.1
WP_244016029.1	WP_153654294.1
WP_244016029.1	WP_220360723.1
WP_244016029.1	WP_000453652.1
WP_244016029.1	WP_242414248.1
WP_154030464.1	WP_154030464.1
WP_154030464.1	WP_117937618.1
WP_066838264.1	WP_066838264.1
WP_066838264.1	WP_105323136.1
WP_141107778.1	WP_141107778.1
WP_070048534.1	WP_070048534.1
WP_145469816.1	WP_145469816.1
WP_093332051.1	WP_093332051.1
WP_006011200.1	WP_006011200.1
WP_006011200.1	WP_101182208.1
WP_006011200.1	WP_014107527.1
WP_229954810.1	WP_229954810.1
WP_229954810.1	WP_207986488.1
WP_229954810.1	WP_109355935.1
WP_216194630.1	WP_216194630.1
WP_066665069.1	WP_066665069.1
WP_066665069.1	WP_224922802.1
WP_066665069.1	WP_145846056.1
WP_005002532.1	WP_005002532.1
WP_176852430.1	WP_176852430.1
WP_176852430.1	WP_072708944.1
WP_048874945.1	WP_048874945.1
WP_048874945.1	WP_100622687.1
WP_106358719.1	WP_106358719.1
WP_106358719.1	WP_090201088.1
WP_106358719.1	WP_106746655.1
WP_106358719.1	WP_108385351.1
WP_106358719.1	WP_045997560.1
WP_106358719.1	WP_238112447.1
WP_106358719.1	WP_113778301.1
WP_095207571.1	WP_095207571.1
WP_055038520.1	WP_055038520.1
WP_085377366.1	WP_085377366.1
WP_215957969.1	WP_215957969.1
WP_102959364.1	WP_102959364.1
WP_015087718.1	WP_015087718.1
WP_115861043.1	WP_115861043.1
WP_115861043.1	WP_055905184.1
WP_115861043.1	WP_232908632.1
WP_115861043.1	WP_091637661.1
WP_115861043.1	WP_056101144.1
WP_115861043.1	WP_123087858.1
WP_115861043.1	WP_056177074.1
WP_229156096.1	WP_229156096.1
WP_225765398.1	WP_225765398.1
WP_022959331.1	WP_022959331.1
WP_036194573.1	WP_036194573.1
WP_069624337.1	WP_069624337.1
WP_149999966.1	WP_149999966.1
WP_107324638.1	WP_107324638.1
WP_215357542.1	WP_215357542.1
WP_215357542.1	WP_216131170.1
WP_215357542.1	WP_215293270.1
WP_215357542.1	WP_088525440.1
WP_215357542.1	WP_216260355.1
WP_215357542.1	WP_087908649.1
WP_215357542.1	WP_216236188.1
WP_215357542.1	WP_216139662.1
WP_102950531.1	WP_102950531.1
WP_213612835.1	WP_213612835.1
WP_232962703.1	WP_232962703.1
WP_174098442.1	WP_174098442.1
WP_174098442.1	WP_012778725.1
WP_100114980.1	WP_100114980.1
WP_212699934.1	WP_212699934.1
WP_212699934.1	WP_160973049.1
WP_095011380.1	WP_095011380.1
WP_181336579.1	WP_181336579.1
WP_191776460.1	WP_191776460.1
WP_034962084.1	WP_034962084.1
WP_091735848.1	WP_091735848.1
WP_187409713.1	WP_187409713.1
WP_224831801.1	WP_224831801.1
WP_224831801.1	WP_160608853.1
WP_132579623.1	WP_132579623.1
WP_168773610.1	WP_168773610.1
WP_169553817.1	WP_169553817.1
WP_107940154.1	WP_107940154.1
WP_114697764.1	WP_114697764.1
WP_028641608.1	WP_028641608.1
WP_041376525.1	WP_041376525.1
WP_108639695.1	WP_108639695.1
WP_242747049.1	WP_242747049.1
WP_128731802.1	WP_128731802.1
WP_128731802.1	WP_125251932.1
WP_056098017.1	WP_056098017.1
WP_163259147.1	WP_163259147.1
WP_163259147.1	WP_187451272.1
WP_174280461.1	WP_174280461.1
WP_215227164.1	WP_215227164.1
WP_084422118.1	WP_084422118.1
WP_136644847.1	WP_136644847.1
WP_136644847.1	WP_135447767.1
WP_094408136.1	WP_094408136.1
WP_070068570.1	WP_070068570.1
WP_040009841.1	WP_040009841.1
WP_092641299.1	WP_092641299.1
WP_192555059.1	WP_192555059.1
WP_192555059.1	WP_204630898.1
WP_192555059.1	WP_188796535.1
WP_192555059.1	WP_128899396.1
WP_192555059.1	WP_204681065.1
WP_192555059.1	WP_115477824.1
WP_034737692.1	WP_034737692.1
WP_034737692.1	WP_035538465.1
WP_139080267.1	WP_139080267.1
WP_042893218.1	WP_042893218.1
WP_042893218.1	WP_004906530.1
WP_042893218.1	WP_005164288.1
WP_042893218.1	WP_038344611.1
WP_042893218.1	WP_130163125.1
WP_042893218.1	WP_087545582.1
WP_042893218.1	WP_004637874.1
WP_042893218.1	WP_004678443.1
WP_042893218.1	WP_005146893.1
WP_042893218.1	WP_004804306.1
WP_042893218.1	WP_243475634.1
WP_042893218.1	WP_005085470.1
WP_042893218.1	WP_004681803.1
WP_042893218.1	WP_018677661.1
WP_042893218.1	WP_241334803.1
WP_042893218.1	WP_004655889.1
WP_042893218.1	WP_005051442.1
WP_042893218.1	WP_087536577.1
WP_042893218.1	WP_004664141.1
WP_042893218.1	WP_004672663.1
WP_042893218.1	WP_191012576.1
WP_042893218.1	WP_004698753.1
WP_042893218.1	WP_033845565.1
WP_042893218.1	WP_031951624.1
WP_042893218.1	WP_139850853.1
WP_042893218.1	WP_031956764.1
WP_042893218.1	WP_031953709.1
WP_042893218.1	WP_031970173.1
WP_042893218.1	WP_238612127.1
WP_042893218.1	WP_009390836.1
WP_042893218.1	WP_003654925.1
WP_042893218.1	WP_016139275.1
WP_042893218.1	WP_163118238.1
WP_042893218.1	WP_032014775.1
WP_120077173.1	WP_120077173.1
WP_034998009.1	WP_034998009.1
WP_034998009.1	WP_012386108.1
WP_133589329.1	WP_133589329.1
WP_008543456.1	WP_008543456.1
WP_156927343.1	WP_156927343.1
WP_077928229.1	WP_077928229.1
WP_077928229.1	WP_077926527.1
WP_011415950.1	WP_011415950.1
WP_242018804.1	WP_242018804.1
WP_223259077.1	WP_223259077.1
WP_064036872.1	WP_064036872.1
WP_185383590.1	WP_185383590.1
WP_185383590.1	WP_119879836.1
WP_185383590.1	WP_072218584.1
WP_185383590.1	WP_039382824.1
WP_046518216.1	WP_046518216.1
WP_053886483.1	WP_053886483.1
WP_041116011.1	WP_041116011.1
WP_135094146.1	WP_135094146.1
WP_013292708.1	WP_013292708.1
WP_002512193.1	WP_002512193.1
WP_002512193.1	WP_049389858.1
WP_161952349.1	WP_161952349.1
